kind,config,arch,batch,ctx,base_tput,spec_tput,base_tpot,spec_tpot,tput_gain,spec_energy_per_tok
named,unified_global,baseline,16,2048,3729.144172322276,7199.173385834007,0.0042905286737777,0.0022224773793451,1.930516239963663,0.0832260137401829
named,big_global_256MB,hier,64,4096,4693.024637501586,7225.600110091234,0.0136372606034456,0.0088573957906441,1.5396467455874916,0.0847800589930465
named,tpu_v8,hier,256,4096,9463.843130183614,12793.67420299005,0.0270503215742792,0.0200098889449732,1.3518476613571926,0.0506091077950422
roofline,614GBps,hier,64,4096,4693.024637501586,7225.600110091234,0.0136372606034456,0.0088573957906441,1.5396467455874916,0.085021498213749
roofline,3000GBps,hier,4,4096,3997.58329192254,7437.254791064322,0.0010006045422699,0.0005378328580064,1.8604377314894056,0.0508816019289703
roofline,8000GBps,hier,1024,4096,9463.843130183614,12793.67420299005,0.1082012862971169,0.0800395557798929,1.3518476613571926,0.0511008644557831
named,unified_global,baseline,64,4096,4693.024637501586,6427.417013360915,0.0136372606034456,0.0099573436525062,1.3695681377847324,0.0864890127014141
named,big_global_256MB,hier,256,4096,5602.250911606693,7842.383768113967,0.0456959183084109,0.0326431360118922,1.3998630000427483,0.0849665204362754
roofline,100GBps,hier,1,4096,52.23436509173132,117.45867539231926,0.0191444846365769,0.0085136325321219,2.248685806480932,0.1009971432939962
roofline,614GBps,hier,256,4096,5602.250911606693,7842.383768113967,0.0456959183084109,0.0326431360118922,1.3998630000427483,0.0850199097220965
roofline,3000GBps,hier,16,4096,7304.339108843314,11655.35119797637,0.002190478804664,0.0013727600076759,1.5956749850051888,0.050735968169187
named,unified_global,baseline,256,4096,5182.867872082239,6543.40454988711,0.0493935030408465,0.0391233643049651,1.2625065333294458,0.0866724764676049
named,fast_KV_16TBps,hier,16,2048,3729.144172322276,7199.173385834007,0.0042905286737777,0.0022224773793451,1.930516239963663,0.0821106513595758
roofline,100GBps,hier,4,4096,180.01994408503282,373.92307681228056,0.0222197602622884,0.0106973873720238,2.077120280826536,0.1010444746538505
roofline,614GBps,hier,1024,4096,5773.845435213423,7891.686584077268,0.1773514742453699,0.1297568002847557,1.3667990722348735,0.0850227238541938
roofline,3000GBps,hier,64,4096,9208.665047798995,12727.463856403172,0.0069499758833444,0.0050284959141959,1.3821182321584409,0.0507656973836424
named,dedicated_KV_tier,kv_buffer,16,2048,3729.144172322276,7199.173385834007,0.0042905286737777,0.0022224773793451,1.930516239963663,0.0821121628013953
named,fast_KV_16TBps,hier,64,4096,4693.024637501586,7225.600110091234,0.0136372606034456,0.0088573957906441,1.5396467455874916,0.0850213658382
roofline,100GBps,hier,16,4096,463.4878678438332,823.3669041228322,0.0345208604368281,0.019432406039013,1.7764583740954705,0.1010688749083344
roofline,1500GBps,hier,1,4096,765.0000550409968,1698.537306118097,0.0013071894484326,0.000588741852415,2.2203100443268218,0.050385568779493
roofline,3000GBps,hier,256,4096,9463.843130183614,12793.67420299005,0.0270503215742792,0.0200098889449732,1.3518476613571926,0.0505659055333386
named,dedicated_KV_tier,kv_buffer,64,4096,4693.024637501586,7225.600110091234,0.0136372606034456,0.0088573957906441,1.5396467455874916,0.0849715608478877
named,fast_KV_16TBps,hier,256,4096,5602.250911606693,7842.383768113967,0.0456959183084109,0.0326431360118922,1.3998630000427483,0.0849700367027136
roofline,100GBps,hier,64,4096,764.404914362426,1177.0660028820837,0.0837252597380029,0.0543724819536831,1.5398462003136777,0.1009626589196027
roofline,1500GBps,hier,4,4096,2492.3993665655603,5013.63359494296,0.0016048792395224,0.0007978245566318,2.01156911777408,0.0504755630266228
roofline,3000GBps,hier,1024,4096,9463.843130183614,12793.67420299005,0.1082012862971169,0.0800395557798929,1.3518476613571926,0.05053205097064
named,dedicated_KV_tier,kv_buffer,256,4096,5602.250911606693,7842.383768113967,0.0456959183084109,0.0326431360118922,1.3998630000427483,0.0849308305303333
named,hi_DRAM_3TBps,hier,16,2048,11443.321647733716,19569.39838277897,0.0013981954272139,0.0008176030599939,1.7101152082581352,0.0475238986021941
roofline,100GBps,hier,256,4096,912.5165380806548,1318.6850429367823,0.2805428606679925,0.1941327850582685,1.4451081025999195,0.1009555614663583
roofline,1500GBps,hier,16,4096,5723.201175512204,9790.990634724812,0.0027956382292586,0.001634155377828,1.7107542325468854,0.0506827533033282
roofline,8000GBps,hier,1,4096,3071.229288560146,5994.28439019655,0.0003256025213502,0.0001668255849915,1.951754111138602,0.0507503447909734
named,split_K_V,kv_split,16,2048,3729.144172322276,7199.173385834007,0.0042905286737777,0.0022224773793451,1.930516239963663,0.0821321091211786
named,hi_DRAM_3TBps,hier,64,4096,9208.665047798995,12727.463856403172,0.0069499758833444,0.0050284959141959,1.3821182321584409,0.0506983168648102
roofline,100GBps,hier,1024,4096,958.969171799112,1359.0778452187717,1.0678132625253056,0.7534520583956441,1.4172278788368349,0.1010461069069372
roofline,1500GBps,hier,64,4096,8467.093290915076,12523.920299296762,0.0075586742464111,0.0051102209588154,1.4791286535999946,0.0504479238290509
roofline,8000GBps,hier,4,4096,6421.2377733247295,10657.059808838994,0.000622932858306,0.0003753380455538,1.6596581819646712,0.0507351828842546
named,split_K_V,kv_split,64,4096,4693.024637501586,7225.600110091234,0.0136372606034456,0.0088573957906441,1.5396467455874916,0.0849691571213072
named,hi_DRAM_3TBps,hier,256,4096,9463.843130183614,12793.67420299005,0.0270503215742792,0.0200098889449732,1.3518476613571926,0.0503646930603863
roofline,614GBps,hier,1,4096,320.71702470907485,721.1804640265728,0.0031180134603303,0.001386615486527,2.248650394162149,0.0850369884616403
roofline,1500GBps,hier,256,4096,9463.843130183614,12793.67420299005,0.0270503215742792,0.0200098889449732,1.3518476613571926,0.0506251717950893
roofline,8000GBps,hier,16,4096,8828.78369453574,12630.11752548206,0.0018122541624734,0.0012668132317628,1.430561441130223,0.0507178596242923
named,split_K_V,kv_split,256,4096,5602.250911606693,7842.383768113967,0.0456959183084109,0.0326431360118922,1.3998630000427483,0.0849146974602163
named,tpu_v8,hier,16,2048,11443.321647733716,19569.39838277897,0.0013981954272139,0.0008176030599939,1.7101152082581352,0.0474612633256676
roofline,614GBps,hier,4,4096,1105.2990540941894,2295.7277520677626,0.0036189300851958,0.0017423668796952,2.0770195573442782,0.0849716883776371
roofline,1500GBps,hier,1024,4096,9463.843130183614,12793.67420299005,0.1082012862971169,0.0800395557798929,1.3518476613571926,0.0504438596843054
roofline,8000GBps,hier,64,4096,9463.843130183614,12793.67420299005,0.0067625803935698,0.0050024722362433,1.3518476613571926,0.0503930599390288
named,big_global_256MB,hier,16,2048,3729.144172322276,7199.173385834007,0.0042905286737777,0.0022224773793451,1.930516239963663,0.0821000877590067
named,tpu_v8,hier,64,4096,9208.665047798995,12727.463856403172,0.0069499758833444,0.0050284959141959,1.3821182321584409,0.0508318057344335
roofline,614GBps,hier,16,4096,2845.6606152486297,5054.697042899056,0.0056225960025813,0.0031653726947843,1.7762824617289856,0.0849668187047158
roofline,3000GBps,hier,1,4096,1422.200064029679,3038.580204452081,0.0007031359548435,0.0003291010711301,2.136534993425982,0.0507363030563994
roofline,8000GBps,hier,256,4096,9463.843130183614,12793.67420299005,0.0270503215742792,0.0200098889449732,1.3518476613571926,0.0507022148158334
