study,setting,arch,draft,target,ctx,batch,method,gamma,alpha,tpot,throughput,speedup
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,baseline,0,0.0,0.0030347592522801,329.5154300126637,1.0
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,1,0.6,0.0021190907272689,471.90051239042816,1.4321044461325905
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,1,0.7,0.0019944383315472,501.3942944148299,1.521610974015877
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,1,0.8,0.0018836362020168,530.8880764392317,1.611117501899164
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,1,0.9,0.0017844974545422,560.3818584636335,1.7006240297824513
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,2,0.6,0.001912284185598,522.9348271199957,1.586981304941922
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,2,0.7,0.0017114506866539,584.2996282616278,1.773208702970821
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,2,0.8,0.0015360971326934,651.0004990677498,1.9756297877848417
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,2,0.9,0.0013830542449343,723.0374395383614,2.194244559383984
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,4,0.6,0.0019357843137298,516.5864775881032,1.5677155924633028
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,4,0.7,0.0016094422537,621.3332585875992,1.885596855248085
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,4,0.8,0.001327684529312,753.1909711399061,2.2857532684006934
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,4,0.9,0.0010898743165577,917.536990098474,2.7845038700106137
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,8,0.6,0.002381315705322,419.9359193596476,1.274404416641457
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,8,0.7,0.0018423329260331,542.7900602922801,1.6472371575176918
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,8,0.8,0.0013613801101045,734.5487072844144,2.229178485681792
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,8,0.9,0.000962045533369,1039.4518401826751,3.15448608929399
