study,setting,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
precision,4bit,kv_buffer,512,1,0.2,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0765624270746491,0.0013780632593577,0.0918749124895789,0.0016536759112293,1.2,1.0784571164593375,0.9278550663258116
precision,4bit,kv_buffer,512,1,0.25,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0734999299916631,0.0013229407289834,0.0918749124895789,0.0016536759112293,1.25,1.1233928296451432,0.8907408636727793
precision,4bit,kv_buffer,512,1,0.3,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0706730096073684,0.0012720583932533,0.0918749124895789,0.0016536759112293,1.3,1.1683285428309491,0.8564815996853645
precision,4bit,kv_buffer,512,1,0.35,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0680554907330214,0.0012249451194291,0.0918749124895789,0.0016536759112293,1.35,1.2132642560167548,0.8247600589562769
precision,4bit,kv_buffer,512,1,0.4,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0656249374925564,0.0011811970794495,0.0918749124895789,0.0016536759112293,1.4,1.2581999692025605,0.7953043425649815
precision,4bit,kv_buffer,512,1,0.45,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0633620086135027,0.0011404661456754,0.0918749124895789,0.0016536759112293,1.45,1.3031356823883662,0.7678800548903268
precision,4bit,kv_buffer,512,1,0.5,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0612499416597193,0.0011024506074862,0.0918749124895789,0.0016536759112293,1.5,1.348071395574172,0.7422840530606493
precision,4bit,kv_buffer,512,1,0.55,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0592741370900509,0.001066887684664,0.0918749124895789,0.0016536759112293,1.5500000000000005,1.3930071087599778,0.718339406187725
precision,4bit,kv_buffer,512,1,0.6,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0574218203059868,0.0010335474445183,0.0918749124895789,0.0016536759112293,1.6,1.4379428219457835,0.6958912997443588
precision,4bit,kv_buffer,512,1,0.65,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0556817651451993,0.0010022278249874,0.0918749124895789,0.0016536759112293,1.65,1.4828785351315892,0.6748036846005903
precision,4bit,kv_buffer,512,1,0.7,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0540440661703405,0.0009727505360172,0.0918749124895789,0.0016536759112293,1.6999999999999995,1.5278142483173944,0.6549565174064553
precision,4bit,kv_buffer,512,1,0.75,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0524999499940451,0.0009449576635596,0.0918749124895789,0.0016536759112293,1.75,1.5727499615032006,0.6362434740519851
precision,4bit,kv_buffer,512,1,0.8,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0510416180497661,0.0009187088395718,0.0918749124895789,0.0016536759112293,1.7999999999999998,1.617685674689006,0.6185700442172078
precision,4bit,kv_buffer,512,1,0.85,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0496621148592318,0.0008938788709347,0.0918749124895789,0.0016536759112293,1.8500000000000003,1.6626213878748124,0.6018519349140399
precision,4bit,kv_buffer,512,1,0.9,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0483552170997784,0.0008703557427522,0.0918749124895789,0.0016536759112293,1.9,1.7075571010606176,0.5860137261005126
precision,4bit,kv_buffer,512,1,0.95,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0471153397382456,0.0008480389288355,0.0918749124895789,0.0016536759112293,1.9499999999999988,1.752492814246423,0.5709877331235768
precision,4bit,kv_buffer,512,2,0.2,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0930027272391326,0.0014700428357057,0.1153233817765244,0.0018228531162751,1.24,1.0109787911533998,1.1270939930732629
precision,4bit,kv_buffer,512,2,0.25,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0878654337344948,0.0013888404695429,0.1153233817765244,0.0018228531162751,1.3125,1.070088438216804,1.0648354677415968
precision,4bit,kv_buffer,512,2,0.3,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0829664617097298,0.0013114051196224,0.1153233817765244,0.0018228531162751,1.39,1.1332746126638915,1.005465144899889
precision,4bit,kv_buffer,512,2,0.35,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0783180860961117,0.0012379308090153,0.1153233817765244,0.0018228531162751,1.4725,1.200537314494662,0.9491317836406424
precision,4bit,kv_buffer,512,2,0.4,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0739252447285413,0.0011684955873558,0.1153233817765244,0.0018228531162751,1.56,1.2718765437091155,0.8958952252633627
precision,4bit,kv_buffer,512,2,0.45,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0697872204396517,0.0011030881187746,0.1153233817765244,0.0018228531162751,1.6525,1.3472923003072523,0.8457467784634469
precision,4bit,kv_buffer,512,2,0.5,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0658990753008711,0.0010416303521572,0.1153233817765244,0.0018228531162751,1.75,1.4267845842890725,0.7986266008061976
precision,4bit,kv_buffer,512,2,0.55,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.06225283766614,0.0009839962840891,0.1153233817765244,0.0018228531162751,1.8525,1.5103533956545752,0.7544380844323054
precision,4bit,kv_buffer,512,2,0.6,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0588384600900635,0.0009300271001403,0.1153233817765244,0.0018228531162751,1.96,1.5979987344037607,0.7130594650055336
precision,4bit,kv_buffer,512,2,0.65,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0556445750429551,0.0008795431200362,0.1153233817765244,0.0018228531162751,2.0725,1.68972060053663,0.6743529801741113
precision,4bit,kv_buffer,512,2,0.7,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0526590784367691,0.0008323530211302,0.1153233817765244,0.0018228531162751,2.19,1.7855189940531817,0.6381719412834913
precision,4bit,kv_buffer,512,2,0.75,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0498695704979565,0.0007882608070379,0.1153233817765244,0.0018228531162751,2.3125,1.885393914953417,0.6043660762857711
precision,4bit,kv_buffer,512,2,0.8,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0472636810559526,0.0007470709492931,0.1153233817765244,0.0018228531162751,2.44,1.989345363237335,0.572785471889691
precision,4bit,kv_buffer,512,2,0.85,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0448293029257626,0.0007085920762974,0.1153233817765244,0.0018228531162751,2.5725,2.0973733389049363,0.543283401908978
precision,4bit,kv_buffer,512,2,0.9,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0425547534230717,0.0006726395263008,0.1153233817765244,0.0018228531162751,2.7099999999999995,2.20947784195622,0.5157182846534487
precision,4bit,kv_buffer,512,2,0.95,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0404288805526816,0.0006390370258633,0.1153233817765244,0.0018228531162751,2.8525,2.3256588723911875,0.4899549698197532
precision,4bit,kv_buffer,512,4,0.2,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1079263047634117,0.0017268728403792,0.1348647104323592,0.0021579003013378,1.2496,0.8606204777991479,1.3079518569456745
precision,4bit,kv_buffer,512,4,0.25,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1012474072454075,0.0016200072643475,0.1348647104323592,0.0021579003013378,1.33203125,0.917392262178614,1.22701073299843
precision,4bit,kv_buffer,512,4,0.3,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0946352609868495,0.0015142097406061,0.1348647104323592,0.0021579003013378,1.4251,0.9814902712160416,1.1468785632161356
precision,4bit,kv_buffer,512,4,0.35,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0881249103335259,0.001410040995561,0.1348647104323592,0.0021579003013378,1.53038125,1.05399923382671,1.0679800477425576
precision,4bit,kv_buffer,512,4,0.4,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0817560077790732,0.0013081354882019,0.1348647104323592,0.0021579003013378,1.6496,1.1361071864416408,0.9907957325650552
precision,4bit,kv_buffer,512,4,0.45,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0755700710902374,0.0012091575227867,0.1348647104323592,0.0021579003013378,1.78463125,1.2291054730075943,0.91582876879429
precision,4bit,kv_buffer,512,4,0.5,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0696075924812177,0.0011137549942389,0.1348647104323592,0.0021579003013378,1.9375,1.334388744987075,0.8435698789364207
precision,4bit,kv_buffer,512,4,0.55,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0639053774915595,0.001022516808912,0.1348647104323592,0.0021579003013378,2.11038125,1.453454961358325,0.7744651069276298
precision,4bit,kv_buffer,512,4,0.6,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0584944094519254,0.0009359387150146,0.1348647104323592,0.0021579003013378,2.3056,1.5879053886153291,0.7088899377339152
precision,4bit,kv_buffer,512,4,0.65,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0533984169036391,0.0008544003806327,0.1348647104323592,0.0021579003013378,2.52563125,1.7394446007678128,0.6471319360018668
precision,4bit,kv_buffer,512,4,0.7,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.048633194054437,0.0007781545206944,0.1348647104323592,0.0021579003013378,2.7731,1.9098804793412425,0.5893825107061825
precision,4bit,kv_buffer,512,4,0.75,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0442066144310934,0.0007073271154193,0.1348647104323592,0.0021579003013378,3.05078125,2.101124213376826,0.5357370806049483
precision,4bit,kv_buffer,512,4,0.8,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0401192022942525,0.0006419265532299,0.1348647104323592,0.0021579003013378,3.3616,2.3151902994315106,0.4862019991787586
precision,4bit,kv_buffer,512,4,0.85,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0363650903368619,0.0005818589543886,0.1348647104323592,0.0021579003013378,3.70863125,2.554196541577986,0.4407061609156518
precision,4bit,kv_buffer,512,4,0.9,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.032933190992249,0.00052694691249,0.1348647104323592,0.0021579003013378,4.0951,2.820364051404682,0.3991151963173829
precision,4bit,kv_buffer,512,4,0.95,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0298084319115148,0.0004769492626948,0.1348647104323592,0.0021579003013378,4.52438125,3.11601724801577,0.3612464445694789
precision,4bit,kv_buffer,512,6,0.2,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.130504253468634,0.0019950531565716,0.163128228767737,0.002493784524864,1.249984,0.7449335994332354,1.581572546542665
precision,4bit,kv_buffer,512,6,0.25,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1223536394493043,0.0018704525570121,0.163128228767737,0.002493784524864,1.333251953125,0.7945575114503846,1.4827957861856869
precision,4bit,kv_buffer,512,6,0.3,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1142147389008135,0.0017460310243898,0.163128228767737,0.002493784524864,1.4282590000000002,0.8511773893049139,1.384160980618772
precision,4bit,kv_buffer,512,6,0.35,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.1061016137312768,0.001622003526826,0.163128228767737,0.002493784524864,1.5374717031249998,0.9162631920373804,1.285838545190355
precision,4bit,kv_buffer,512,6,0.4,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0980375620022266,0.0014987262279703,0.163128228767737,0.002493784524864,1.663936,0.991630159831278,1.1881108275904764
precision,4bit,kv_buffer,512,6,0.45,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0900570414766417,0.0013767258927898,0.163128228767737,0.002493784524864,1.811387828125,1.0795047414804564,1.091395419204044
precision,4bit,kv_buffer,512,6,0.5,gpt3_6.7b,gpt3_175b,4,0.0825155025319058,0.0014861821289855,0.0822063515050013,0.0012567103117425,0.163128228767737,0.002493784524864,1.984375,1.1825972263447584,0.9962534188435084
