study,setting,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
kv_org,baseline,baseline,512,1,0.2,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1533693389932522,0.0027560758038454,0.1840432067919027,0.0033072909646145,1.2,1.0784603962375068,0.9283257858177012
kv_org,baseline,baseline,512,1,0.25,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1472345654335221,0.0026458327716916,0.1840432067919027,0.0033072909646145,1.25,1.1233962460807363,0.8911927543849931
kv_org,baseline,baseline,512,1,0.3,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1415716975322328,0.0025440699727804,0.1840432067919027,0.0033072909646145,1.3,1.1683320959239656,0.8569161099855703
kv_org,baseline,baseline,512,1,0.35,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1363283013273353,0.0024498451589737,0.1840432067919027,0.0033072909646145,1.35,1.213267945767195,0.825178476282401
kv_org,baseline,baseline,512,1,0.4,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1314594334227876,0.0023623506890104,0.1840432067919027,0.0033072909646145,1.4,1.2582037956104244,0.7957078164151726
kv_org,baseline,baseline,512,1,0.45,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.126926349511657,0.0022808903204238,0.1840432067919027,0.0033072909646145,1.45,1.303139645453654,0.768269615849132
kv_org,baseline,baseline,512,1,0.5,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1226954711946018,0.0022048606430763,0.1840432067919027,0.0033072909646145,1.5,1.3480754952968834,0.742660628654161
kv_org,baseline,baseline,512,1,0.55,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1187375527689694,0.0021337361062029,0.1840432067919027,0.0033072909646145,1.5500000000000005,1.3930113451401132,0.718703834181446
kv_org,baseline,baseline,512,1,0.6,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1150270042449392,0.0020670568528841,0.1840432067919027,0.0033072909646145,1.6,1.4379471949833422,0.696244339363276
kv_org,baseline,baseline,512,1,0.65,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.111541337449638,0.002004418766433,0.1840432067919027,0.0033072909646145,1.65,1.4828830448265715,0.6751460260492373
kv_org,baseline,baseline,512,1,0.7,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1082607098775898,0.0019454652733026,0.1840432067919027,0.0033072909646145,1.6999999999999995,1.527818894669801,0.6552887899889657
kv_org,baseline,baseline,512,1,0.75,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1051675467382301,0.0018898805512083,0.1840432067919027,0.0033072909646145,1.75,1.5727547445130308,0.636566253132138
kv_org,baseline,baseline,512,1,0.8,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1022462259955015,0.0018373838692303,0.1840432067919027,0.0033072909646145,1.7999999999999998,1.61769059435626,0.618883857211801
kv_org,baseline,baseline,512,1,0.85,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0994828144821095,0.0017877248457376,0.1840432067919027,0.0033072909646145,1.8500000000000003,1.6626264441994898,0.6021572664763466
kv_org,baseline,baseline,512,1,0.9,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0968648456799488,0.0017406794550603,0.1840432067919027,0.0033072909646145,1.9,1.7075622940427189,0.5863110226217061
kv_org,baseline,baseline,512,1,0.95,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0943811316881553,0.0016960466485202,0.1840432067919027,0.0033072909646145,1.9499999999999988,1.7524981438859475,0.5712774066570473
kv_org,baseline,baseline,512,2,0.2,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1866260684350432,0.0029399874299808,0.2314163248594536,0.0036455844131761,1.24,1.0109970448054628,1.1296246875110547
kv_org,baseline,baseline,512,2,0.25,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.176317199892917,0.0027775881243247,0.2314163248594536,0.0036455844131761,1.3125,1.0701077591186854,1.0672263714390156
kv_org,baseline,baseline,512,2,0.3,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1664865646470889,0.0026227225994073,0.2314163248594536,0.0036455844131761,1.39,1.1332950744190269,1.007722742815617
kv_org,baseline,baseline,512,2,0.35,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1571587944716153,0.0024757788884048,0.2314163248594536,0.0036455844131761,1.4725,1.200558990706487,0.9512628947461512
kv_org,baseline,baseline,512,2,0.4,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1483437979868292,0.0023369130853693,0.2314163248594536,0.0036455844131761,1.56,1.2718995079810662,0.8979068028934023
kv_org,baseline,baseline,512,2,0.45,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1400401360722866,0.0022061025193199,0.2314163248594536,0.0036455844131761,1.6525,1.3473166262427638,0.8476457564379474
kv_org,baseline,baseline,512,2,0.5,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1322378999196878,0.0020831910932435,0.2314163248594536,0.0036455844131761,1.75,1.4268103454915806,0.8004197785792616
kv_org,baseline,baseline,512,2,0.55,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1249210930415404,0.001967926808732,0.2314163248594536,0.0036455844131761,1.8525,1.5103806657275158,0.7561320445418126
kv_org,baseline,baseline,512,2,0.6,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1180695534997212,0.0018599920475388,0.2314163248594536,0.0036455844131761,1.96,1.5980275869505702,0.7146605165886265
kv_org,baseline,baseline,512,2,0.65,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1116604703785059,0.0017590274611224,0.2314163248594536,0.0036455844131761,2.0725,1.6897511091607436,0.675867123046421
kv_org,baseline,baseline,512,2,0.7,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1056695547303441,0.0016646504169754,0.2314163248594536,0.0036455844131761,2.19,1.785551232358035,0.6396048458966702
kv_org,baseline,baseline,512,2,0.75,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1000719242635475,0.0015764689354275,0.2314163248594536,0.0036455844131761,2.3125,1.8854279565424457,0.6057230756816033
kv_org,baseline,baseline,512,2,0.8,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.09484275608994,0.0014940919726131,0.2314163248594536,0.0036455844131761,2.44,1.989381281713975,0.574071562505618
kv_org,baseline,baseline,512,2,0.85,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0899577550474066,0.0014171367981248,0.2314163248594536,0.0036455844131761,2.5725,2.097411207872624,0.5445032507341915
kv_org,baseline,baseline,512,2,0.9,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0853934778079164,0.001345234100803,0.2314163248594536,0.0036455844131761,2.7099999999999995,2.20951773501839,0.5168762407799661
kv_org,baseline,baseline,512,2,0.95,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0811275459629986,0.0012780313455481,0.2314163248594536,0.0036455844131761,2.8525,2.325700863151276,0.4910550788829826
